table_name,column_name,data_type,description
adcp,DI_SEQUENCE_NUMBER,LONG,
adcp,DI_OPERATION_TYPE,STRING,
adcp,CLIENT,STRING,
adcp,ADDRNUMBER,STRING,
adcp,PERSNUMBER,STRING,
adcp,DATE_FROM,STRING,
adcp,NATION,STRING,
adcp,DATE_TO,STRING,
adcp,COMP_PERS,STRING,
adcp,SO_KEY,STRING,
adcp,DEPARTMENT,STRING,
adcp,FUNCTION,STRING,
adcp,BUILDING,STRING,
adcp,FLOOR,STRING,
adcp,ROOMNUMBER,STRING,
adcp,ID_CODE,STRING,
adcp,IH_MAIL,STRING,
adcp,SORT1,STRING,
adcp,SORT2,STRING,
adcp,SORT_PHN,STRING,
adcp,ALT_COMPNY,STRING,
adcp,DEFLT_COMM,STRING,
adcp,TEL_NUMBER,STRING,
adcp,TEL_EXTENS,STRING,
adcp,FAX_NUMBER,STRING,
adcp,FAX_EXTENS,STRING,
adcp,FLAGCOMM2,STRING,
adcp,FLAGCOMM3,STRING,
adcp,FLAGCOMM4,STRING,
adcp,FLAGCOMM5,STRING,
adcp,FLAGCOMM6,STRING,
adcp,FLAGCOMM7,STRING,
adcp,FLAGCOMM8,STRING,
adcp,FLAGCOMM9,STRING,
adcp,FLAGCOMM10,STRING,
adcp,FLAGCOMM11,STRING,
adcp,FLAGCOMM12,STRING,
adcp,FLAGCOMM13,STRING,
adcp,ADCP_UUID,STRING,
adcp,UUID_BELATED,STRING,
adcp,ID_CATEGORY,STRING,
adcp,ADCP_ERR_STATUS,STRING,
adcp,XPCPT,STRING,
adcp,_DATAAGING,STRING,
adcp,ODQ_CHANGEMODE,STRING,
adcp,ODQ_ENTITYCNTR,STRING,
adcp,current_ts,STRING,
adcp,yearCurrentTs,STRING,
adcp,monthCurrentTs,STRING,
adcp,dayCurrentTs,STRING,
adcp,dataImportacao,TIMESTAMP,
adr2,DI_SEQUENCE_NUMBER,LONG,
adr2,DI_OPERATION_TYPE,STRING,
adr2,CLIENT,STRING,
adr2,ADDRNUMBER,STRING,
adr2,PERSNUMBER,STRING,
adr2,DATE_FROM,STRING,
adr2,CONSNUMBER,STRING,
adr2,COUNTRY,STRING,
adr2,FLGDEFAULT,STRING,
adr2,FLG_NOUSE,STRING,
adr2,HOME_FLAG,STRING,
adr2,TEL_NUMBER,STRING,
adr2,TEL_EXTENS,STRING,
adr2,TELNR_LONG,STRING,
adr2,TELNR_CALL,STRING,
adr2,DFT_RECEIV,STRING,
adr2,R3_USER,STRING,
adr2,VALID_FROM,STRING,
adr2,VALID_TO,STRING,
adr2,_DATAAGING,STRING,
adr2,ODQ_CHANGEMODE,STRING,
adr2,ODQ_ENTITYCNTR,STRING,
adr2,current_ts,STRING,
adr2,yearCurrentTs,STRING,
adr2,monthCurrentTs,STRING,
adr2,dayCurrentTs,STRING,
adr2,dataImportacao,TIMESTAMP,
adr3,DI_SEQUENCE_NUMBER,LONG,
adr3,DI_OPERATION_TYPE,STRING,
adr3,CLIENT,STRING,
adr3,ADDRNUMBER,STRING,
adr3,PERSNUMBER,STRING,
adr3,DATE_FROM,STRING,
adr3,CONSNUMBER,STRING,
adr3,COUNTRY,STRING,
adr3,FLGDEFAULT,STRING,
adr3,FLG_NOUSE,STRING,
adr3,HOME_FLAG,STRING,
adr3,FAX_NUMBER,STRING,
adr3,FAX_EXTENS,STRING,
adr3,FAXNR_LONG,STRING,
adr3,FAXNR_CALL,STRING,
adr3,FAX_GROUP,STRING,
adr3,DFT_RECEIV,STRING,
adr3,R3_USER,STRING,
adr3,VALID_FROM,STRING,
adr3,VALID_TO,STRING,
adr3,_DATAAGING,STRING,
adr3,ODQ_CHANGEMODE,STRING,
adr3,ODQ_ENTITYCNTR,STRING,
adr3,current_ts,STRING,
adr3,yearCurrentTs,STRING,
adr3,monthCurrentTs,STRING,
adr3,dayCurrentTs,STRING,
adr3,dataImportacao,TIMESTAMP,
adr6,DI_SEQUENCE_NUMBER,LONG,
adr6,DI_OPERATION_TYPE,STRING,
adr6,CLIENT,STRING,
adr6,ADDRNUMBER,STRING,
adr6,PERSNUMBER,STRING,
adr6,DATE_FROM,STRING,
adr6,CONSNUMBER,STRING,
adr6,FLGDEFAULT,STRING,
adr6,FLG_NOUSE,STRING,
adr6,HOME_FLAG,STRING,
adr6,SMTP_ADDR,STRING,
adr6,SMTP_SRCH,STRING,
adr6,DFT_RECEIV,STRING,
